TrialType,Shock,Stimulus,FixationTimes
11,0,"75,80",1.8
14,0,"100,40",1.5
11,0,"75,80",1.1
14,0,"100,40",1.9
11,1,"75,80",1.5
4,0,"25,120",2.5
11,1,"75,80",1.3
9,0,"75,0",2.5
11,1,"75,80",1.7
11,0,"75,80",2.5
11,1,"75,80",1
8,0,"50,120",2.5
11,1,"75,80",1.7
11,0,"75,80",2.5
11,1,"75,80",1.4
11,0,"75,80",2.5
11,0,"75,80",1.8
11,0,"75,80",1.3
11,1,"75,80",1.9
3,0,"25,80",2.5
11,1,"75,80",1
11,0,"75,80",2.5
13,0,"100,0",1.1
11,1,"75,80",0.9
15,0,"100,80",2.5
11,0,"75,80",1.6
11,0,"75,80",1.6
1,0,"25,0",1.7
11,1,"75,80",1.9
13,0,"100,0",2.5
11,1,"75,80",1.7
11,0,"75,80",2.5
11,0,"75,80",1.7
11,0,"75,80",1.9
6,0,"50,40",1.2
11,1,"75,80",0.9
15,0,"100,80",2.5
11,1,"75,80",1.8
11,0,"75,80",2.5
15,0,"100,80",1.4
11,1,"75,80",1.1
11,0,"75,80",2.5
11,0,"75,80",1.7
4,0,"25,120",1.8
11,1,"75,80",1.7
6,0,"50,40",2.5
11,0,"75,80",2
11,0,"75,80",1.4
11,0,"75,80",1.4
11,0,"75,80",1.2
13,0,"100,0",1.6
11,1,"75,80",1.3
1,0,"25,0",2.5
11,0,"75,80",1.6
11,1,"75,80",1.8
11,0,"75,80",2.5
8,0,"50,120",1.8
9,0,"75,0",1.6
11,1,"75,80",1.4
2,0,"25,40",2.5
11,0,"75,80",1.1
6,0,"50,40",1.7
11,1,"75,80",2
11,0,"75,80",2.5
11,1,"75,80",1.9
11,0,"75,80",2.5
11,1,"75,80",1.7
8,0,"50,120",2.5
11,0,"75,80",0.9
11,1,"75,80",1.8
1,0,"25,0",2.5
11,0,"75,80",1
10,0,"75,40",2
11,1,"75,80",1.3
6,0,"50,40",2.5
11,0,"75,80",1.1
11,1,"75,80",1.6
2,0,"25,40",2.5
11,0,"75,80",1.4
15,0,"100,80",1.3
12,0,"75,120",1.3
11,0,"75,80",1.2
11,0,"75,80",1.8
8,0,"50,120",1.1
11,0,"75,80",2
9,0,"75,0",2
11,1,"75,80",1.2
5,0,"50,0",2.5
11,1,"75,80",1.2
12,0,"75,120",2.5
11,0,"75,80",1.1
11,0,"75,80",1.4
5,0,"50,0",1.8
2,0,"25,40",1.6
11,0,"75,80",1.1
11,1,"75,80",1.8
1,0,"25,0",2.5
16,0,"100,120",1
11,0,"75,80",1.9
3,0,"25,80",1.1
11,0,"75,80",1.4
11,1,"75,80",1.2
11,0,"75,80",2.5
11,1,"75,80",1.2
11,0,"75,80",2.5
11,0,"75,80",1.7
11,0,"75,80",0.9
5,0,"50,0",1.1
11,0,"75,80",1.4
11,0,"75,80",1.2
11,1,"75,80",1.4
12,0,"75,120",2.5
11,0,"75,80",0.9
4,0,"25,120",1.9
7,0,"50,80",1.9
11,0,"75,80",1
11,1,"75,80",1.1
16,0,"100,120",2.5
11,0,"75,80",1.6
7,0,"50,80",1.7
11,0,"75,80",1.8
12,0,"75,120",1.1
11,1,"75,80",2
3,0,"25,80",2.5
11,0,"75,80",0.9
11,0,"75,80",1.1
11,0,"75,80",1.3
11,0,"75,80",1.9
14,0,"100,40",0.9
10,0,"75,40",1.3
11,0,"75,80",1.6
11,1,"75,80",1.8
13,0,"100,0",2.5
10,0,"75,40",1.8
11,1,"75,80",0.9
11,0,"75,80",2.5
11,0,"75,80",1.2
11,1,"75,80",1.9
11,0,"75,80",2.5
11,0,"75,80",1.5
5,0,"50,0",1.7
11,1,"75,80",1
3,0,"25,80",2.5
3,0,"25,80",1.5
11,0,"75,80",0.9
11,0,"75,80",1
11,0,"75,80",1.2
5,0,"50,0",0.9
11,0,"75,80",1.7
7,0,"50,80",0.9
8,0,"50,120",1.4
11,1,"75,80",1.4
2,0,"25,40",2.5
11,1,"75,80",1.6
11,0,"75,80",2.5
11,1,"75,80",2
11,0,"75,80",2.5
11,0,"75,80",1.5
4,0,"25,120",1.3
11,1,"75,80",1.3
15,0,"100,80",2.5
11,0,"75,80",1.7
11,0,"75,80",1.5
9,0,"75,0",1.8
11,1,"75,80",1.8
14,0,"100,40",2.5
11,0,"75,80",1.1
11,1,"75,80",1.3
4,0,"25,120",2.5
12,0,"75,120",1
11,1,"75,80",1.4
7,0,"50,80",2.5
11,0,"75,80",0.9
11,1,"75,80",1.7
11,0,"75,80",2.5
2,0,"25,40",1.9
13,0,"100,0",1.9
11,1,"75,80",1.6
16,0,"100,120",2.5
11,1,"75,80",0.9
10,0,"75,40",2.5
11,0,"75,80",1.7
16,0,"100,120",1.6
11,0,"75,80",1.7
11,0,"75,80",1.1
11,0,"75,80",1.8
11,0,"75,80",2
14,0,"100,40",1.4
10,0,"75,40",1.1
11,1,"75,80",1.4
1,0,"25,0",2.5
6,0,"50,40",1.9
11,1,"75,80",2
7,0,"50,80",2.5
9,0,"75,0",1.7
11,0,"75,80",0.9
11,1,"75,80",1
11,0,"75,80",2.5
16,0,"100,120",1.5
11,1,"75,80",1.4
